model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand
 C Class,2014,13800,Automatic,46310,Petrol,125.0,50.4,2.0,Merc
 Fiesta,2016,7560,Manual,46924,Diesel,0.0,88.3,1.5,Ford
 Kuga,2018,18980,Semi-Auto,8011,Diesel,150.0,47.9,2.0,Ford
 GLA Class,2019,20500,Manual,3242,Petrol,145.0,40.9,1.6,Merc
 1 Series,2016,12199,Manual,41621,Diesel,30.0,65.7,2.0,BMW
 Corsa,2018,7291,Manual,17921,Petrol,150.0,55.4,1.4,Vauxhall
 E Class,2013,9495,Semi-Auto,82312,Diesel,145.0,55.4,2.1,Merc
 C Class,2019,34790,Automatic,3000,Diesel,145.0,54.3,2.0,cclass
 Auris,2018,11699,Manual,16951,Petrol,150.0,58.9,1.2,toyota
 Tiguan,2019,23491,Semi-Auto,5012,Diesel,150.0,46.3,2.0,VW
 Mokka X,2018,12189,Manual,5600,Petrol,150.0,47.1,1.4,Vauxhall
 Golf,2019,17298,Manual,7844,Petrol,145.0,47.1,1.5,VW
 A7,2015,21488,Semi-Auto,34995,Diesel,165.0,52.3,3.0,Audi
 Kuga,2019,18800,Manual,6036,Petrol,145.0,39.2,1.5,Ford
 C Class,2017,18510,Semi-Auto,27573,Diesel,30.0,64.2,2.1,Merc
 T-Cross,2019,19597,Automatic,3508,Diesel,145.0,51.4,1.6,VW
 Sharan,2016,16950,Manual,26249,Diesel,125.0,56.5,2.0,VW
 E Class,2019,24965,Automatic,14908,Diesel,145.0,72.4,2.0,Merc
 Mokka X,2019,15494,Manual,8735,Petrol,145.0,39.2,1.4,Vauxhall
 Golf,2019,31499,Automatic,5001,Petrol,145.0,36.2,2.0,VW
 Focus,2019,14610,Manual,11427,Petrol,145.0,54.3,1.0,Focus
 C Class,2019,27000,Semi-Auto,3689,Diesel,145.0,60.1,1.6,Merc
 A4,2017,19990,Semi-Auto,18132,Petrol,145.0,50.4,1.4,Audi
 Golf,2016,11490,Manual,26386,Diesel,0.0,74.3,1.6,VW
 C Class,2019,23250,Semi-Auto,9169,Petrol,145.0,44.1,1.5,Merc
 X5,2019,48143,Semi-Auto,9115,Diesel,145.0,37.7,3.0,BMW
 Fabia,2017,11999,Semi-Auto,12915,Petrol,145.0,61.4,1.0,Skoda
 C Class,2015,15000,Automatic,53400,Other,0.0,134.5,2.0,Merc
 Q7,2018,45990,Automatic,24340,Diesel,145.0,47.1,3.0,Audi
 C Class,2014,9990,Automatic,78000,Diesel,145.0,53.3,2.1,Merc
 I10,2018,7990,Manual,31375,Petrol,150.0,60.1,1.0,Hyundi
 X2,2019,32000,Automatic,2631,Petrol,145.0,34.0,2.0,BMW
 Corsa,2016,7698,Manual,25575,Petrol,30.0,55.4,1.4,Vauxhall
 Focus,2018,10750,Manual,18954,Petrol,145.0,61.4,1.0,Ford
 Golf,2019,25990,Semi-Auto,8774,Petrol,145.0,37.7,2.0,VW
 S-MAX,2019,25990,Semi-Auto,9282,Diesel,145.0,51.4,2.0,Ford
 Focus,2019,15750,Manual,5620,Petrol,145.0,49.6,1.0,Ford
 Golf,2015,14998,Manual,27609,Diesel,20.0,67.3,2.0,VW
 Corsa,2017,7490,Manual,29975,Petrol,150.0,55.4,1.4,Vauxhall
 Octavia,2020,19499,Semi-Auto,1091,Petrol,145.0,46.3,1.5,Skoda
 S-MAX,2017,18300,Automatic,33219,Diesel,150.0,52.3,2.0,Ford
 Polo,2019,13450,Manual,8223,Petrol,145.0,52.3,1.0,VW
 C-MAX,2014,9000,Manual,41261,Diesel,125.0,55.4,2.0,Ford
 A4,2017,19970,Semi-Auto,26882,Petrol,145.0,52.3,2.0,Audi
 Octavia,2019,15495,Manual,6925,Petrol,145.0,55.4,1.5,Skoda
 Fiesta,2019,16000,Manual,12595,Petrol,145.0,55.4,1.0,Ford
 A1,2019,22000,Semi-Auto,7500,Petrol,150.0,40.9,2.0,Audi
 A6,2019,43695,Automatic,1500,Diesel,145.0,36.2,3.0,Audi
 Tucson,2016,14710,Manual,42231,Diesel,145.0,54.3,2.0,Hyundi
 I10,2020,13980,Semi-Auto,1200,Petrol,145.0,52.3,1.2,Hyundi
 Focus,2019,17500,Automatic,11211,Petrol,145.0,48.7,1.0,Ford
 A6,2017,21450,Automatic,29888,Diesel,145.0,61.4,2.0,Audi
 Yeti,2013,6500,Manual,90700,Diesel,205.0,47.1,2.0,Skoda
 Grandland X,2019,17871,Manual,18958,Diesel,145.0,56.5,1.5,Vauxhall
 Focus,2019,19665,Manual,8864,Diesel,145.0,54.3,2.0,Focus
 A1,2017,13995,Manual,15981,Petrol,145.0,57.6,1.4,Audi
 C Class,2016,22700,Automatic,48448,Diesel,145.0,54.3,2.1,cclass
 Fabia,2019,12995,Manual,7730,Petrol,150.0,50.4,1.0,Skoda
 Golf,2019,21795,Manual,2246,Petrol,145.0,50.4,1.5,VW
 S-MAX,2017,17299,Manual,31355,Diesel,145.0,56.5,2.0,Ford
 Polo,2019,14690,Semi-Auto,5941,Petrol,145.0,45.6,1.0,VW
 KA,2017,8600,Manual,9770,Petrol,145.0,57.7,1.2,Ford
 A3,2019,20000,Manual,2411,Diesel,145.0,49.6,1.6,Audi
 Astra,2017,9887,Manual,35839,Diesel,20.0,72.4,1.6,Vauxhall
 Superb,2015,12600,Manual,20790,Petrol,30.0,57.7,1.4,Skoda
 Corsa,2016,9950,Automatic,21512,Petrol,150.0,47.9,1.4,Vauxhall
 Meriva,2015,6290,Manual,26464,Petrol,145.0,47.1,1.4,Vauxhall
 Astra,2019,16999,Automatic,2671,Petrol,145.0,51.4,1.4,Vauxhall
 A Class,2017,13495,Manual,33000,Petrol,150.0,51.4,1.6,Merc
 Astra,2017,10499,Manual,14652,Petrol,145.0,50.4,1.4,Vauxhall
 B-MAX,2017,9000,Automatic,26825,Petrol,150.0,44.1,1.6,Ford
 I20,2013,5400,Manual,24003,Petrol,125.0,54.3,1.4,Hyundi
 I20,2017,8995,Manual,5937,Petrol,145.0,62.8,1.0,Hyundi
 Auris,2013,8995,Automatic,53331,Hybrid,0.0,72.4,1.8,toyota
 Focus,2016,10142,Manual,31500,Diesel,0.0,74.3,1.5,Ford
 EcoSport,2017,9500,Manual,32222,Diesel,30.0,64.2,1.5,Ford
 Fabia,2017,7950,Manual,27250,Petrol,145.0,57.7,1.0,Skoda
 X-CLASS,2019,28945,Automatic,500,Diesel,260.0,35.8,2.3,Merc
 Corsa,2014,6436,Manual,18630,Petrol,125.0,51.4,1.2,Vauxhall
 Golf,2018,13500,Manual,26605,Petrol,145.0,54.3,1.4,VW
 A6,2016,12599,Automatic,86555,Diesel,20.0,67.3,2.0,Audi
 Golf,2018,20282,Automatic,18053,Diesel,145.0,56.5,2.0,VW
 Insignia,2017,12998,Manual,18342,Diesel,145.0,54.3,2.0,Vauxhall
 X1,2017,18500,Automatic,25683,Diesel,150.0,57.6,2.0,BMW
 Touran,2017,19798,Manual,12319,Petrol,145.0,49.6,1.4,VW
 Golf,2016,13000,Semi-Auto,38349,Petrol,0.0,65.7,1.0,VW
 A4,2017,16000,Automatic,58028,Petrol,145.0,52.3,2.0,Audi
 Crossland X,2018,12300,Manual,14389,Petrol,145.0,44.8,1.2,Vauxhall
 Focus,2018,19990,Automatic,8500,Diesel,145.0,64.2,2.0,Ford
 C Class,2017,19890,Automatic,26878,Petrol,145.0,54.3,2.0,cclass
 5 Series,2016,13600,Automatic,65612,Diesel,30.0,62.8,2.0,BMW
 Focus,2018,13691,Manual,12603,Petrol,145.0,54.3,1.0,Focus
 GLC Class,2017,25800,Automatic,35872,Diesel,145.0,56.5,2.1,Merc
 Polo,2016,8495,Manual,30343,Petrol,20.0,60.1,1.2,VW
 GLC Class,2015,24750,Automatic,23405,Diesel,125.0,56.5,2.1,Merc
 A Class,2017,14891,Manual,24945,Diesel,20.0,72.4,1.5,Merc
 Fiesta,2018,11000,Manual,7452,Petrol,145.0,65.7,1.0,Ford
 Focus,2016,8799,Manual,37458,Diesel,0.0,74.3,1.5,Ford
 I40,2015,8995,Manual,43492,Diesel,30.0,62.8,1.7,Hyundi
 Auris,2014,11498,Automatic,27911,Hybrid,0.0,76.4,1.8,toyota
 Golf,2019,12806,Manual,15202,Petrol,145.0,49.6,1.0,VW
 Polo,2016,8998,Manual,25563,Petrol,20.0,60.1,1.0,VW
 Q3,2020,33888,Manual,1500,Petrol,145.0,40.4,1.5,Audi
 E Class,2017,19500,Semi-Auto,23682,Diesel,20.0,72.4,2.0,Merc
 Focus,2018,12995,Manual,9781,Petrol,145.0,60.1,1.0,Ford
 A1,2019,22450,Automatic,6481,Petrol,150.0,40.9,2.0,Audi
 Touareg,2016,23121,Semi-Auto,30223,Diesel,235.0,42.8,3.0,VW
 Tucson,2017,15490,Manual,22798,Diesel,30.0,61.7,1.7,Hyundi
 Fiesta,2015,7495,Manual,31945,Petrol,0.0,65.7,1.0,Ford
 I30,2018,18490,Manual,29225,Petrol,150.0,34.0,2.0,Hyundi
 Focus,2015,7499,Manual,45363,Diesel,0.0,74.3,1.5,Ford
 Grandland X,2019,14800,Manual,7555,Petrol,145.0,44.1,1.2,Vauxhall
 Polo,2017,10495,Manual,16482,Petrol,145.0,60.1,1.0,VW
 Golf,2017,13350,Manual,29167,Petrol,30.0,53.3,1.4,VW
 A Class,2018,20389,Automatic,10427,Diesel,145.0,68.9,2.1,Merc
 Fiesta,2010,5495,Automatic,59000,Petrol,200.0,43.4,1.4,Ford
 Golf,2017,13995,Manual,15485,Petrol,30.0,53.3,1.4,VW
 C Class,2018,25302,Semi-Auto,17933,Diesel,145.0,54.3,2.1,cclass
 5 Series,2019,29990,Semi-Auto,3117,Petrol,145.0,50.4,2.0,BMW
 Focus,2019,17500,Manual,20,Petrol,145.0,54.3,1.0,Focus
 Golf,2019,18891,Semi-Auto,6213,Diesel,150.0,52.3,2.0,VW
 Focus,2016,7990,Manual,57000,Diesel,145.0,54.3,1.5,Focus
 B-MAX,2016,7990,Semi-Auto,13446,Petrol,160.0,44.1,1.6,Ford
 Golf,2017,18495,Manual,23514,Petrol,145.0,47.1,2.0,VW
 Corsa,2016,6895,Manual,36000,Petrol,30.0,54.3,1.4,Vauxhall
 Q7,2017,29950,Semi-Auto,30985,Diesel,160.0,48.7,3.0,Audi
 Aygo,2018,7099,Manual,10578,Petrol,145.0,56.5,1.0,toyota
 Focus,2019,15540,Manual,8188,Diesel,145.0,54.3,1.5,Focus
 Focus,2017,11999,Manual,9381,Petrol,145.0,60.1,1.0,Ford
 A3,2019,20990,Manual,4000,Diesel,150.0,51.4,1.6,Audi
 A3,2016,18300,Manual,55321,Petrol,200.0,40.4,0.0,Audi
 Adam,2016,6936,Manual,30034,Petrol,125.0,52.3,1.4,Vauxhall
 Fiesta,2017,10290,Manual,4070,Petrol,145.0,64.2,1.1,Ford
 Focus,2017,11999,Manual,11741,Petrol,145.0,54.3,1.0,Focus
 E Class,2019,52732,Semi-Auto,7218,Petrol,145.0,32.1,3.0,Merc
 1 Series,2017,14995,Manual,13472,Diesel,145.0,65.7,2.0,BMW
 5 Series,2018,24600,Semi-Auto,20000,Diesel,150.0,68.9,2.0,BMW
 X1,2016,11000,Manual,88387,Diesel,20.0,68.9,2.0,BMW
 Fabia,2019,11995,Manual,800,Petrol,145.0,51.4,1.0,Skoda
 Mokka X,2017,13000,Automatic,13763,Petrol,150.0,43.5,1.4,Vauxhall
 Mokka X,2019,12598,Manual,6388,Petrol,145.0,39.2,1.4,Vauxhall
 3 Series,2017,12490,Manual,26000,Petrol,125.0,52.3,1.5,BMW
 Golf,2019,24998,Semi-Auto,8766,Petrol,145.0,37.7,2.0,VW
 Grandland X,2018,14999,Manual,26651,Petrol,145.0,44.1,1.2,Vauxhall
 Octavia,2016,8375,Manual,55000,Diesel,0.0,74.3,1.6,Skoda
 3 Series,2016,9490,Manual,69000,Diesel,20.0,68.9,2.0,BMW
 I10,2018,6499,Manual,31072,Petrol,145.0,60.1,1.0,Hyundi
 A Class,2019,17728,Automatic,15025,Diesel,145.0,65.7,1.5,Merc
 RAV4,2017,20112,Automatic,62734,Hybrid,20.0,55.4,2.5,toyota
 Ka+,2017,7798,Manual,12392,Petrol,145.0,57.7,1.2,Ford
 C Class,2016,18450,Automatic,17050,Diesel,30.0,64.2,2.1,Merc
 Focus,2019,21680,Automatic,4677,Diesel,145.0,54.3,2.0,Focus
 Golf,2019,20687,Automatic,10324,Petrol,145.0,45.6,1.5,VW
 Tiguan,2017,19399,Manual,39443,Diesel,125.0,58.9,2.0,VW
 Fiesta,2017,9795,Manual,8606,Petrol,0.0,65.7,1.0,Ford
 Corsa,2016,7000,Manual,35642,Petrol,30.0,55.4,1.4,Vauxhall
 3 Series,2017,19875,Semi-Auto,20000,Diesel,150.0,64.2,2.0,BMW
 C Class,2015,14490,Automatic,78000,Diesel,30.0,64.2,2.1,Merc
 X5,2017,32990,Automatic,39593,Diesel,200.0,47.1,3.0,BMW
 Astra,2018,11814,Manual,31967,Petrol,145.0,44.1,1.6,Vauxhall
 Mokka X,2019,12500,Manual,18560,Petrol,145.0,39.2,1.4,Vauxhall
 Polo,2016,8500,Manual,27174,Petrol,20.0,60.1,1.0,VW
 GLA Class,2019,23842,Semi-Auto,10295,Diesel,145.0,67.3,2.1,Merc
 7 Series,2017,35495,Semi-Auto,14550,Petrol,145.0,35.3,4.4,BMW
 X1,2019,25999,Automatic,1100,Diesel,145.0,60.1,2.0,BMW
 Fiesta,2017,10298,Manual,27897,Petrol,0.0,65.7,1.0,Ford
 Octavia,2018,13490,Manual,23146,Diesel,145.0,65.7,2.0,Skoda
 Zafira,2017,11498,Manual,14589,Petrol,145.0,41.5,1.4,Vauxhall
 A3,2017,15000,Manual,13078,Diesel,145.0,67.3,2.0,Audi
 Golf,2015,8950,Manual,64221,Diesel,0.0,68.9,1.6,VW
 X1,2019,24449,Semi-Auto,5336,Diesel,145.0,60.1,2.0,BMW
 1 Series,2015,16314,Manual,17846,Petrol,300.0,35.3,3.0,BMW
 Polo,2015,8391,Manual,21449,Petrol,20.0,60.1,1.0,VW
 Citigo,2017,6895,Manual,22661,Petrol,150.0,68.9,1.0,Skoda
 6 Series,2014,17500,Automatic,51920,Diesel,160.0,49.6,3.0,BMW
 Crossland X,2017,10290,Manual,30737,Petrol,145.0,57.7,1.2,Vauxhall
 A Class,2014,12693,Automatic,30689,Diesel,30.0,65.7,1.5,Merc
 A3,2019,18590,Manual,3735,Diesel,145.0,51.4,1.6,Audi
 Fiesta,2013,8698,Manual,9734,Petrol,0.0,65.7,1.0,Ford
 A6,2019,43490,Semi-Auto,8567,Diesel,150.0,36.2,3.0,Audi
 1 Series,2016,13499,Manual,29690,Petrol,125.0,52.3,1.5,BMW
 Tiguan,2018,28990,Semi-Auto,17843,Diesel,145.0,49.6,2.0,VW
 Amarok,2016,15990,Manual,48638,Diesel,260.0,35.3,2.0,VW
 Corsa,2019,11529,Manual,9181,Petrol,150.0,43.5,1.4,Vauxhall
 7 Series,2019,42990,Semi-Auto,9931,Diesel,145.0,44.1,3.0,BMW
 X1,2018,22397,Semi-Auto,2570,Petrol,145.0,37.7,2.0,BMW
 T-Roc,2018,22490,Semi-Auto,23123,Petrol,150.0,51.4,1.5,VW
 Q2,2017,16690,Manual,20852,Petrol,150.0,55.4,1.0,Audi
 Q2,2020,24988,Automatic,1500,Petrol,145.0,42.2,0.0,Audi
 Kuga,2017,14540,Manual,15869,Diesel,145.0,64.2,1.5,Ford
 2 Series,2018,17995,Semi-Auto,17421,Diesel,145.0,60.1,2.0,BMW
 C Class,2016,36399,Semi-Auto,27416,Petrol,145.0,54.3,4.0,cclass
 Focus,2017,18610,Manual,10843,Petrol,145.0,54.3,2.0,Focus
 Mokka X,2017,10392,Manual,10088,Petrol,200.0,42.2,1.6,Vauxhall
 Focus,2017,11817,Semi-Auto,12582,Petrol,125.0,51.4,1.0,Ford
 Mondeo,2016,9990,Manual,58519,Diesel,0.0,78.5,1.5,Ford
 Corsa,2016,8000,Manual,40844,Petrol,30.0,57.7,1.0,Vauxhall
 3 Series,2017,14691,Semi-Auto,38326,Petrol,145.0,51.4,2.0,BMW
 Focus,2018,18500,Manual,23604,Diesel,145.0,54.3,2.0,Focus
 Fabia,2018,9415,Manual,29100,Diesel,145.0,70.6,1.4,Skoda
 Focus,2018,13800,Manual,22889,Diesel,145.0,58.9,1.0,Ford
 S-MAX,2019,26000,Semi-Auto,6145,Diesel,145.0,51.4,2.0,Ford
 2 Series,2016,15299,Automatic,21594,Petrol,125.0,51.4,1.5,BMW
 Golf,2016,11943,Semi-Auto,33745,Petrol,30.0,53.3,1.4,VW
 Focus,2017,15750,Manual,34980,Petrol,200.0,41.5,2.0,Ford
 A6,2016,23562,Semi-Auto,50810,Diesel,160.0,50.4,3.0,Audi
 Fiesta,2017,9495,Manual,6159,Petrol,0.0,65.7,1.0,Ford
 Meriva,2015,6250,Manual,33286,Petrol,150.0,47.1,1.4,Vauxhall
 Octavia,2016,10498,Semi-Auto,35013,Petrol,30.0,58.9,1.4,Skoda
 E Class,2019,36500,Semi-Auto,5000,Hybrid,135.0,188.3,2.0,Merc
 Fiesta,2018,10500,Manual,7959,Petrol,145.0,55.4,1.1,Ford
 3 Series,2018,21495,Semi-Auto,23000,Diesel,145.0,62.8,2.0,BMW
 C-HR,2018,21995,Automatic,17929,Hybrid,140.0,74.3,1.8,toyota
 Aygo,2019,9995,Manual,7292,Petrol,145.0,57.7,1.0,toyota
 I10,2017,8120,Manual,34407,Petrol,145.0,57.7,1.2,Hyundi
 Karoq,2018,19995,Automatic,9000,Petrol,145.0,54.3,1.0,Skoda
 GLA Class,2019,30000,Automatic,3099,Petrol,145.0,35.8,1.6,Merc
 4 Series,2019,24450,Semi-Auto,10831,Diesel,145.0,65.7,2.0,BMW
 Q3,2019,25490,Manual,10200,Petrol,150.0,40.9,1.5,Audi
 Golf,2019,18990,Manual,3800,Petrol,145.0,49.6,1.5,VW
 Crossland X,2018,12498,Manual,9611,Petrol,145.0,44.8,1.2,Vauxhall
 Yeti Outdoor,2016,12495,Manual,6000,Petrol,125.0,51.4,1.2,Skoda
 A4,2018,23995,Semi-Auto,13907,Petrol,145.0,49.6,1.4,Audi
 Fabia,2015,8995,Semi-Auto,9500,Petrol,20.0,60.1,1.2,Skoda
 GTC,2016,10499,Manual,10985,Diesel,30.0,65.7,1.6,Vauxhall
 Tucson,2018,14490,Manual,11897,Petrol,145.0,34.9,1.6,Hyundi
 Mokka X,2018,13995,Manual,21311,Petrol,145.0,39.2,1.4,Vauxhall
 C Class,2020,33998,Automatic,2000,Diesel,145.0,54.3,2.0,cclass
 X5,2019,56995,Semi-Auto,3677,Diesel,145.0,33.6,3.0,BMW
 Q2,2017,17202,Manual,52236,Petrol,125.0,50.4,1.4,Audi
 I10,2019,8645,Manual,8607,Petrol,145.0,60.1,1.0,Hyundi
 Sharan,2019,26990,Manual,307,Diesel,145.0,43.5,2.0,VW
 Focus,2017,17475,Manual,24550,Diesel,20.0,67.3,2.0,Ford
 Karoq,2019,21000,Automatic,7515,Diesel,145.0,62.8,1.6,Skoda
 S-MAX,2019,35000,Automatic,3450,Diesel,145.0,51.4,2.0,Ford
 Fabia,2016,8495,Manual,16676,Petrol,20.0,58.8,1.2,Skoda
 Mokka X,2019,13989,Manual,9774,Petrol,145.0,39.2,1.4,Vauxhall
 B-MAX,2017,11495,Manual,937,Petrol,145.0,47.1,1.4,Ford
 B Class,2013,9995,Manual,35000,Diesel,20.0,64.2,1.5,Merc
 Corsa,2014,6634,Manual,47438,Petrol,30.0,56.5,1.0,Vauxhall
 A7,2014,17999,Semi-Auto,44247,Diesel,235.0,44.8,3.0,Audi
 Focus,2019,15500,Manual,8580,Petrol,145.0,54.3,1.0,Focus
 C Class,2015,18199,Automatic,24352,Diesel,20.0,68.9,2.1,Merc
 Passat,2019,23790,Semi-Auto,5831,Petrol,145.0,40.4,2.0,VW
 Fiesta,2018,9950,Manual,9649,Petrol,145.0,64.2,1.1,Ford
 Mokka X,2017,10290,Manual,23395,Petrol,200.0,42.2,1.6,Vauxhall
 2 Series,2016,18950,Automatic,22537,Petrol,260.0,37.2,3.0,BMW
 Ka+,2018,7991,Manual,7860,Petrol,145.0,57.7,1.2,Ford
 A6,2014,12295,Manual,64880,Diesel,30.0,62.8,2.0,Audi
 3 Series,2017,16499,Automatic,22248,Diesel,150.0,64.2,2.0,BMW
 Focus,2019,16499,Manual,4615,Petrol,145.0,58.9,1.0,Ford
 A5,2017,19500,Automatic,14250,Diesel,145.0,70.6,2.0,Audi
 Focus,2018,11980,Semi-Auto,30898,Petrol,145.0,54.3,1.0,Focus
 Focus,2019,15320,Manual,9369,Petrol,145.0,60.1,1.0,Ford
 I30,2018,21999,Manual,19496,Petrol,150.0,39.8,2.0,Hyundi
 Passat,2019,17295,Manual,15065,Diesel,145.0,51.4,2.0,VW
 A6,2018,28991,Automatic,16650,Diesel,145.0,50.4,2.0,Audi
 Fiesta,2018,10000,Manual,34553,Petrol,145.0,65.7,1.0,Ford
 2 Series,2019,20999,Automatic,37,Petrol,145.0,47.9,2.0,BMW
 Corsa,2019,11995,Manual,9606,Petrol,145.0,43.5,1.4,Vauxhall
 A3,2015,14898,Manual,45009,Diesel,20.0,67.3,2.0,Audi
 Jetta,2015,8498,Manual,59854,Diesel,20.0,67.3,2.0,VW
 Focus,2018,13231,Manual,11856,Petrol,145.0,54.3,1.0,Focus
 Corsa,2018,10495,Automatic,11515,Petrol,145.0,47.9,1.4,Vauxhall
 X3,2019,35000,Automatic,6847,Diesel,145.0,54.3,2.0,BMW
 A6,2014,13498,Manual,52037,Diesel,125.0,57.6,2.0,Audi
 Grand Tourneo Connect,2019,19500,Manual,5589,Diesel,145.0,61.4,1.5,Ford
 Mokka X,2017,13799,Automatic,13000,Petrol,145.0,43.5,1.4,Vauxhall
 E Class,2019,35990,Semi-Auto,5526,Diesel,145.0,70.6,2.0,Merc
 X1,2016,17998,Semi-Auto,38565,Diesel,145.0,55.4,2.0,BMW
 Astra,2017,11318,Manual,24997,Diesel,20.0,72.4,1.6,Vauxhall
 Adam,2018,8700,Manual,21605,Petrol,150.0,53.3,1.2,Vauxhall
 Superb,2019,23990,Semi-Auto,2569,Petrol,145.0,36.7,1.5,Skoda
 Tucson,2017,11800,Manual,9140,Petrol,160.0,44.8,1.6,Hyundi
 Focus,2017,16250,Manual,10816,Petrol,145.0,41.5,2.0,Ford
 A3,2016,16799,Manual,22633,Petrol,30.0,58.9,1.4,Audi
 CL Class,2019,38750,Automatic,4001,Petrol,145.0,40.9,2.0,Merc
 Astra,2016,8495,Manual,22919,Petrol,125.0,52.3,1.4,Vauxhall
 Golf,2018,17495,Manual,12000,Petrol,145.0,58.9,1.5,VW
 3 Series,2019,24995,Semi-Auto,7585,Petrol,150.0,47.9,2.0,BMW
 C-HR,2017,20995,Automatic,31189,Hybrid,135.0,74.3,1.8,toyota
 2 Series,2017,23875,Semi-Auto,16261,Petrol,145.0,39.8,3.0,BMW
 Astra,2017,9495,Manual,39000,Diesel,145.0,74.3,1.6,Vauxhall
 X4,2019,34990,Automatic,7000,Diesel,150.0,42.8,2.0,BMW
 Golf,2015,12219,Automatic,39482,Diesel,125.0,55.4,2.0,VW
 1 Series,2014,11399,Semi-Auto,56926,Diesel,30.0,64.2,2.0,BMW
 Fiesta,2018,10400,Manual,10978,Petrol,145.0,65.7,1.0,Ford
 Golf,2008,3480,Manual,89000,Diesel,200.0,46.3,2.0,VW
 Aygo,2015,6698,Manual,17517,Petrol,0.0,69.0,1.0,toyota
 Aygo,2019,8469,Manual,11283,Petrol,145.0,56.5,1.0,toyota
 Octavia,2019,16490,Automatic,13,Diesel,145.0,72.4,1.6,Skoda
 EcoSport,2015,7490,Manual,31779,Petrol,160.0,44.8,1.5,Ford
 Zafira Tourer,2017,10500,Manual,23370,Petrol,200.0,41.5,1.4,Vauxhall
 Aygo,2014,5273,Manual,13085,Petrol,0.0,65.7,1.0,toyota
 Aygo,2018,6450,Manual,14619,Petrol,145.0,69.0,1.0,toyota
 Focus,2017,12295,Manual,22327,Petrol,145.0,51.4,1.5,Ford
 C Class,2019,32624,Semi-Auto,4499,Petrol,145.0,54.3,1.5,cclass
 Astra,2018,10998,Manual,18212,Petrol,145.0,49.6,1.4,Vauxhall
 A Class,2020,27995,Automatic,2500,Diesel,145.0,67.3,1.5,Merc
 Citigo,2018,7895,Manual,14944,Petrol,145.0,65.7,1.0,Skoda
 Mokka X,2018,10745,Manual,18075,Petrol,145.0,42.2,1.6,Vauxhall
 Golf,2014,7990,Manual,89000,Diesel,20.0,68.9,2.0,VW
 E Class,2019,32670,Semi-Auto,5820,Diesel,145.0,70.6,2.0,Merc
 Passat,2013,5495,Manual,109020,Diesel,30.0,64.2,1.6,VW
 Kuga,2017,16795,Manual,23077,Diesel,145.0,64.2,1.5,Ford
 T-Roc,2019,25999,Manual,3658,Diesel,145.0,46.3,2.0,VW
 T-Roc,2019,23990,Manual,110,Diesel,145.0,46.3,2.0,VW
 Fiesta,2016,8995,Manual,15635,Petrol,0.0,65.7,1.0,Ford
 Astra,2017,8795,Manual,34586,Petrol,145.0,51.4,1.4,Vauxhall
 Fiesta,2018,10950,Manual,13900,Petrol,145.0,65.7,1.0,Ford
 3 Series,2018,20000,Automatic,27725,Diesel,145.0,64.2,2.0,BMW
 I10,2013,4500,Manual,25919,Petrol,20.0,61.4,1.2,Hyundi
 Grandland X,2019,20994,Manual,499,Petrol,145.0,44.1,1.2,Vauxhall
 Urban Cruiser,2011,4495,Manual,45128,Petrol,125.0,50.4,1.3,toyota
 C Class,2015,17900,Automatic,34797,Diesel,30.0,64.2,2.1,Merc
 Golf,2017,20895,Semi-Auto,6953,Diesel,145.0,57.7,2.0,VW
 I10,2019,10495,Semi-Auto,5431,Petrol,150.0,47.9,1.2,Hyundi
 Focus,2013,5499,Manual,84000,Diesel,20.0,67.3,1.6,Ford
 Polo,2019,14650,Manual,5876,Petrol,145.0,52.3,1.0,VW
 Karoq,2019,19000,Manual,11,Petrol,150.0,43.5,1.0,Skoda
 Octavia,2017,13495,Semi-Auto,13000,Petrol,145.0,57.7,1.5,Skoda
 3 Series,2012,9999,Manual,36529,Diesel,30.0,61.4,2.0,BMW
 2 Series,2018,20360,Automatic,8370,Petrol,145.0,36.2,2.0,BMW
 Fiesta,2019,12300,Manual,60,Petrol,145.0,58.9,1.0,Ford
 Octavia,2016,9995,Semi-Auto,57951,Diesel,0.0,74.3,1.6,Skoda
 Kuga,2017,14292,Manual,19674,Petrol,160.0,45.6,1.5,Ford
 Superb,2016,10498,Manual,77501,Diesel,20.0,68.9,2.0,Skoda
 Auris,2015,12495,Automatic,33203,Hybrid,0.0,76.4,1.8,toyota
 GLA Class,2016,17117,Automatic,15821,Diesel,125.0,56.6,2.1,Merc
 Fiesta,2013,4990,Manual,66175,Diesel,0.0,85.6,1.6,Ford
 A4,2017,17000,Semi-Auto,40786,Diesel,20.0,72.4,2.0,Audi
 C Class,2019,28390,Semi-Auto,7050,Petrol,145.0,43.5,2.0,Merc
 Fiesta,2018,9695,Manual,39216,Diesel,145.0,85.6,1.5,Ford
 C Class,2018,18699,Automatic,37763,Diesel,145.0,54.3,2.1,cclass
 Golf SV,2019,19790,Semi-Auto,5000,Petrol,145.0,44.1,1.5,VW
 Focus,2016,15998,Manual,26023,Diesel,20.0,67.3,2.0,Ford
 I30,2020,25999,Manual,6000,Petrol,150.0,34.0,2.0,Hyundi
 M4,2015,28995,Semi-Auto,35000,Petrol,330.0,32.5,3.0,BMW
 Up,2019,9990,Manual,2000,Petrol,150.0,54.3,1.0,VW
 Aygo,2015,8500,Automatic,16202,Petrol,0.0,67.0,1.0,toyota
